PERM,BVO,PORO
20.6014,0.1547698,0.20209638
74.5606,0.168729,0.2161848
2.0332,0.1662467,0.21286091
11.1165,0.1639959,0.20944334
8.4039,0.1613271,0.20603706
0.401,0.1621709,0.20442316
0.8006,0.1654982,0.20672819
1.4326,0.1685167,0.2090844
1.5779,0.1745,0.21546079
1.2509,0.1752825,0.21526163
1.0758,0.1573764,0.19676871
0.6006,0.1444612,0.18301628
1.3861,0.127621,0.16517988
2.899,0.1071849,0.14497512
0.3,0.0904754,0.12712331
0.1,0.0730006,0.10661887
0.1,0.0685396,0.10217106
0.1,0.0561979,0.090641
2.2594,0.0440028,0.07777979
0.1,0.0463969,0.08468138
0.1,0.0383413,0.075231
0.16,0.0455813,0.08430877
0.0801,0.0471417,0.08669344
0.3748,0.0498846,0.09324277
0.1001,0.0472057,0.09068761
0.075,0.0578924,0.10199969
0.275,0.0664477,0.11196981
0.16,0.0683898,0.11635891
0.15,0.0573034,0.10522617
0.4249,0.048474,0.09765387
0.6997,0.0615535,0.11127366
0.1,0.0652964,0.1142308
0.1,0.0470799,0.09336562
0.025,0.0327496,0.07569838
0.3199,0.0280795,0.06799416
0.025,0.0436452,0.0848934
0.1,0.0420042,0.08389356
0.1,0.027824,0.07471958
0.12,0.0628904,0.13215856
0.1671,0.0671063,0.14260091
0.1751,0.0765158,0.15867283
0.1,0.0810013,0.16935566
0.1751,0.0882419,0.18115387
0.45,0.0930526,0.18983892
0.2752,0.0939814,0.19266909
0.3399,0.093627,0.19656105
0.1,0.0836128,0.18843618
0.3,0.0777593,0.18336976
0.2168,0.0662708,0.17279538
0.1201,0.0630926,0.16988119
0.1751,0.0580104,0.16468755
0.35,0.0675256,0.17605346
0.2251,0.0671903,0.17876748
0.36,0.0821178,0.19793187
0.1,0.0899311,0.20132696
0.4667,0.0943947,0.20513406
0.3005,0.0845001,0.19500106
0.4401,0.0800559,0.19101492
0.5002,0.0762002,0.18677604
0.3201,0.0869363,0.19809898
0.7,0.0872728,0.19996649
0.2,0.0929581,0.20741337
0.2001,0.0890952,0.2023858
1.0998,0.0890152,0.2019535
0.45,0.0767534,0.18565842
0.1002,0.0629459,0.16676624
0.3999,0.06295,0.16251829
0.2335,0.0676424,0.16421763
0.12,0.0697743,0.16301612
0.4,0.0584426,0.14757964
0.4,0.0515551,0.13672458
0.1,0.0514076,0.1342913
0.3,0.054425,0.13638761
0.2,0.0546276,0.13631243
